"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 14 16:18:11 MSK 2023","Sun May 14 16:18:11 MSK 2023","727","","ApiTests.User.ChangeAuthUserTests","","ApiTests.User.ChangeAuthUserTests","updateUserData[Test for user: user3@example.com]","updateUserData[Test for user: user3@example.com]","Update user email. Return 200 and check email"
"passed","Sun May 14 16:18:08 MSK 2023","Sun May 14 16:18:09 MSK 2023","565","","ApiTests.Order.CreateOrderTests","","ApiTests.Order.CreateOrderTests","createNewOrderWithAuthWithIncorrectIngredient","createNewOrderWithAuthWithIncorrectIngredient","Create new order with auth without ingredients. Return 400"
"passed","Sun May 14 16:18:13 MSK 2023","Sun May 14 16:18:13 MSK 2023","477","","ApiTests.User.CreateUserTests","","ApiTests.User.CreateUserTests","createExistUserExpected403","createExistUserExpected403","Create new user with exist data. Return 403"
"passed","Sun May 14 16:18:14 MSK 2023","Sun May 14 16:18:14 MSK 2023","196","","ApiTests.User.CreateUserTests","","ApiTests.User.CreateUserTests","createUserWithoutPasswordExpected403","createUserWithoutPasswordExpected403","Create new user without password. Return 403"
"passed","Sun May 14 16:18:15 MSK 2023","Sun May 14 16:18:16 MSK 2023","1363","","ApiTests.UserOrders.UserOrdersTests","","ApiTests.UserOrders.UserOrdersTests","getUserOrderWithAuth","getUserOrderWithAuth","Get user orders with auth. Return 200"
"passed","Sun May 14 16:18:13 MSK 2023","Sun May 14 16:18:14 MSK 2023","391","","ApiTests.User.CreateUserTests","","ApiTests.User.CreateUserTests","createUniqueUserExpected200","createUniqueUserExpected200","Create new user with unique data. Return 200 and check email, name, password"
"passed","Sun May 14 16:18:07 MSK 2023","Sun May 14 16:18:08 MSK 2023","976","","ApiTests.Order.CreateOrderTests","","ApiTests.Order.CreateOrderTests","createNewOrderWithAuthWithIngredien","createNewOrderWithAuthWithIngredien","Create new order with auth with 1 ingredient. Return 200"
"passed","Sun May 14 16:18:10 MSK 2023","Sun May 14 16:18:10 MSK 2023","492","","ApiTests.User.ChangeAuthUserTests","","ApiTests.User.ChangeAuthUserTests","updateUserData[Test for user: user1@example.com]","updateUserData[Test for user: user1@example.com]","Update user email. Return 200 and check email"
"passed","Sun May 14 16:18:14 MSK 2023","Sun May 14 16:18:14 MSK 2023","195","","ApiTests.User.CreateUserTests","","ApiTests.User.CreateUserTests","createUserWithoutNameExpected403","createUserWithoutNameExpected403","Create new user without name. Return 403"
"passed","Sun May 14 16:18:12 MSK 2023","Sun May 14 16:18:13 MSK 2023","489","","ApiTests.User.ChangeAuthUserTests","","ApiTests.User.ChangeAuthUserTests","updateUserData[Test for user: user6@example.com]","updateUserData[Test for user: user6@example.com]","Update user email. Return 200 and check email"
"passed","Sun May 14 16:18:11 MSK 2023","Sun May 14 16:18:12 MSK 2023","471","","ApiTests.User.ChangeAuthUserTests","","ApiTests.User.ChangeAuthUserTests","updateUserData[Test for user: user4@example.com]","updateUserData[Test for user: user4@example.com]","Update user email. Return 200 and check email"
"passed","Sun May 14 16:18:14 MSK 2023","Sun May 14 16:18:14 MSK 2023","174","","ApiTests.User.CreateUserTests","","ApiTests.User.CreateUserTests","createUserWithoutEmailExpected403","createUserWithoutEmailExpected403","Create new user without email. Return 403"
"passed","Sun May 14 16:18:09 MSK 2023","Sun May 14 16:18:10 MSK 2023","478","","ApiTests.Order.CreateOrderTests","","ApiTests.Order.CreateOrderTests","createNewOrderWithAuthWithoutIncorrectIngredient","createNewOrderWithAuthWithoutIncorrectIngredient","Create new order with auth with incorrect ingredient. Return 500"
"passed","Sun May 14 16:18:10 MSK 2023","Sun May 14 16:18:11 MSK 2023","574","","ApiTests.User.ChangeAuthUserTests","","ApiTests.User.ChangeAuthUserTests","updateUserData[Test for user: user2@example.com]","updateUserData[Test for user: user2@example.com]","Update user email. Return 200 and check email"
"passed","Sun May 14 16:18:04 MSK 2023","Sun May 14 16:18:07 MSK 2023","2479","","ApiTests.Order.CreateOrderTests","","ApiTests.Order.CreateOrderTests","createNewOrderWithAuthWith2Ingredients","createNewOrderWithAuthWith2Ingredients","Create new order with auth with 2 ingredients. Return 200"
"passed","Sun May 14 16:18:14 MSK 2023","Sun May 14 16:18:15 MSK 2023","488","","ApiTests.UserOrders.UserOrdersTests","","ApiTests.UserOrders.UserOrdersTests","getUserOrderWithoutAuth","getUserOrderWithoutAuth","Get user orders without auth. Return 401"
"passed","Sun May 14 16:18:08 MSK 2023","Sun May 14 16:18:08 MSK 2023","778","","ApiTests.Order.CreateOrderTests","","ApiTests.Order.CreateOrderTests","createNewOrderWithoutAuthWith2Ingrediens","createNewOrderWithoutAuthWith2Ingrediens","Create new order without auth with 2 ingredients. Return 401"
"passed","Sun May 14 16:18:12 MSK 2023","Sun May 14 16:18:12 MSK 2023","480","","ApiTests.User.ChangeAuthUserTests","","ApiTests.User.ChangeAuthUserTests","updateUserData[Test for user: user5@example.com]","updateUserData[Test for user: user5@example.com]","Update user email. Return 200 and check email"
